subject,status,mcgill_code,mcgill_title,host_code,host_title,institution,country
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,40510343,Managerial Accounting,Tsinghua University,China
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,MSIN0004,Accounting for Business,University College London (UCL) - University of London,"England, UK"
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,4QQMB101,Accounting and Financial Reporting,University of London - King's College London,"England, UK"
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,AC102,Elements of Financial Accounting,University of London - London School of Economics and Political Science,"England, UK"
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,AC110,Principles of Accounting,University of London - London School of Economics and Political Science,"England, UK"
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,2223CC31013E,Financial accounting,NEOMA Business School,France
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,CB2100,Introduction to Financial Accounting,City University of Hong Kong,"Hong Kong, SAR"
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,AF2108,Financial Accounting,The Hong Kong Polytechnic University,"Hong Kong, SAR"
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,ACCT1101,Introduction to Financial Accounting,The University of Hong Kong (HKU),"Hong Kong, SAR"
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,BUU22530,Introduction to Accounting,The University of Dublin (Trinity College),Ireland
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,BU5101,Accounting: A User Perspective,Nanyang Technological University,Singapore
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,BUSS152,Principles of Accounting (English),Korea University,South Korea
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,ISC204,Principles of Financial Accounting,Korea University,South Korea
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,810000,Financial Accounting,IE University - Madrid,Spain
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,810006,Cost Accounting,IE University - Madrid,Spain
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,AD211,Financial Accounting for Economists,Bogazici (Bosphorus) University,Turkey
MGCR,Equivalent,MGCR211,Intro to Financial Accounting,ACC110,Financial Accounting,Bergen Community College,USA
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,ACCT2,Financial Accounting,Butte College,USA
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,BUS101C,Introduction to Business,Concord's Community College,USA
MGCR,Not Equivalent,MGCR211,Introduction to Financial Accounting,ACC2010,Principles of Accounting,Elon University,USA
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,ACCT201,Fundamental of Financial Accounting,Montclair State University,USA
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,AC2310,Introduction to Accounting I,Saint Mary's University,USA
MGCR,Equivalent,MGCR211,Introduction to Financial Accounting,ACCT201,Principles of Financial Accounting,Western Illinois University,USA
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,COMMGMT2500,Organisational Behaviour,The University of Adelaide,Australia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,MGMT20001,Organisational Behaviour,University of Melbourne,Australia
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,COMM1120,Collaboration and Innovation in Business,University of New South Wales (UNSW),Australia
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,COMM3020,Global Business Practicum,University of New South Wales (UNSW),Australia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,MGMT2004,Managing Organisational Behaviour,University of New South Wales (UNSW),Australia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,MGTS1601,ORGANISATIONAL BEHAVIOUR,University of Queensland (UQ),Australia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,WORK2218,Managing Organisational Behaviour,University of Sydney,Australia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,D0T33A,Organizational Behaviour,Catholic University of Leuven,Belgium
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,BHR221,Organizational Behaviour,Bishop's University,Canada
MGCR,Equivalent,MGCR222,Intro to Org Behaviour,BUSI2101,Intro to Organizational Behaviour,Carleton University,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,MANA202,Human Behaviour in Organizations,Concordia University,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,SOCS2140,Behaviour in Organizations,Douglas College,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,MGMT2384 AND MGMT2383,,Saint Mary's University,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,COMR329,Principles of Organizational Behaviour,University of British Columbia (UBC) - All Campuses,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,OBHR317,Organizational Behaviour,University of Calgary,Canada
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,SPMT1020,Sport Management Today,University of Guelph,Canada
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,MGT100,Fundamentals of Management,University of Toronto,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,RSM260,Organizational Behaviour,University of Toronto,Canada
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,BUS203,Organizational Behavior,University of the Fraser Valley,Canada
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,02839620,Topics in Industrial Organization and Competitive Strategies,Peking University,China
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,E2800040,Organizational Behavior and Leadership,Peking University,China
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,AM103,Introduction to Organizational Behavior,Shanghai Jiao Tong University,China
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,ADMI1603,Comportamiento Organizacional,University of the Andes,Colombia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,ADMI1606,organisational competency,University of the Andes,Colombia
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,BABINBO1135U,Organizational Behaviour,Copenhagen Business School,Denmark
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,62235,International Business Environments and Operations,Technical University of Denmark,Denmark
MGCR,Equivalent,MGCR222,Introduction to Organizational Behaviour,BUSI1029,Organisational behaviour,The University of Nottingham,"England, UK"
MGCR,Not Equivalent,MGCR222,Introduction to Organizational Behaviour,5QQMN202,Behavioural Economics of Organisations,University of London - King's College London,"England, UK"
